city,city_ascii,lat,lng,country,admin_name,population
"Monforte de Lemos","Monforte de Lemos",42.5164,-7.5161,"Spain","Galicia",18242
"Santa Iria da Azóia","Santa Iria da Azoia",38.8464,-9.0881,"Portugal","Lisboa",18240
"Nigrán","Nigran",42.1419,-8.8056,"Spain","Galicia",18208
"Lora del Río","Lora del Rio",37.65,-5.5167,"Spain","Andalusia",18189
"Yaiza","Yaiza",28.955,-13.7667,"Spain","Canary Islands",18113
"Guardamar del Segura","Guardamar del Segura",38.0897,-0.655,"Spain","Valencia",18111
"Manilva","Manilva",36.3833,-5.25,"Spain","Andalusia",18099
"São Tiago de Custoias","Sao Tiago de Custoias",41.2069,-8.6485,"Portugal","Porto",18065
"Munguía","Munguia",43.3547,-2.8472,"Spain","Basque Country",17997
"Torredembarra","Torredembarra",41.15,1.4,"Spain","Catalonia",17984
"Sangenjo","Sangenjo",42.4017,-8.8067,"Spain","Galicia",17914
"Parede","Parede",38.6933,-9.3569,"Portugal","Lisboa",17830
"Lumbreras","Lumbreras",37.5633,-1.8072,"Spain","Murcia",17822
"Manzanares","Manzanares",38.9964,-3.3731,"Spain","Castille-La Mancha",17745
"Balaguer","Balaguer",41.79,0.805,"Spain","Catalonia",17705
"Monzón","Monzon",41.91,0.19,"Spain","Aragon",17650
"Daimiel","Daimiel",39.0833,-3.6167,"Spain","Castille-La Mancha",17645
"Tabernes de Valldigna","Tabernes de Valldigna",39.0722,-0.2658,"Spain","Valencia",17631
"Lousã","Lousa",40.1125,-8.2469,"Portugal","Coimbra",17604
"Pollensa","Pollensa",39.8772,3.0164,"Spain","Balearic Islands",17594
"Mula","Mula",38.0419,-1.4906,"Spain","Murcia",17585
"Alcochete","Alcochete",38.7553,-8.9608,"Portugal","Setúbal",17569
"Barbastro","Barbastro",42.0361,0.1264,"Spain","Aragon",17558
"Piera","Piera",41.5222,1.7494,"Spain","Catalonia",17555
"Montemor-o-Novo","Montemor-o-Novo",38.65,-8.2167,"Portugal","Évora",17437
"Poyo","Poyo",42.4333,-8.6667,"Spain","Galicia",17425
"Villanueva del Pardillo","Villanueva del Pardillo",40.4833,-3.9667,"Spain","Madrid",17382
"Osuna","Osuna",37.2333,-5.1,"Spain","Andalusia",17374
"Canovellas","Canovellas",41.6203,2.2847,"Spain","Catalonia",17312
"La Garriga","La Garriga",41.6833,2.2833,"Spain","Catalonia",17305
"Bailén","Bailen",38.0833,-3.7667,"Spain","Andalusia",17264
"Benavente","Benavente",42.0031,-5.6742,"Spain","Castille-Leon",17246
"Chiva","Chiva",39.4714,-0.7197,"Spain","Valencia",17245
"Cubellas","Cubellas",41,12,"Spain","Catalonia",17243
"Masamagrell","Masamagrell",39.5703,-0.33,"Spain","Valencia",17216
"Rojales","Rojales",38.0833,-0.7167,"Spain","Valencia",17162
"Berga","Berga",42.1011,1.8439,"Spain","Catalonia",17160
"Castilleja de la Cuesta","Castilleja de la Cuesta",37.3833,-6.05,"Spain","Andalusia",17153
"Sada","Sada",43.35,-8.25,"Spain","Galicia",17140
"Peso da Régua","Peso da Regua",41.1632,-7.789,"Portugal","Vila Real",17131
"Ejea de los Caballeros","Ejea de los Caballeros",42.1292,-1.1372,"Spain","Aragon",17124
"Montornés del Vallés","Montornes del Valles",41.5333,2.2667,"Spain","Catalonia",17089
"Condeixa-a-Nova","Condeixa-a-Nova",40.1167,-8.5,"Portugal","Coimbra",17078
"Guadarrama","Guadarrama",40.6728,-4.0889,"Spain","Madrid",17062
"Bermeo","Bermeo",43.42,-2.7264,"Spain","Basque Country",17042
"Albal","Albal",39.3972,-0.4156,"Spain","Valencia",17038
"Guernica y Luno","Guernica y Luno",43.3167,-2.6667,"Spain","Basque Country",17033
"Navalmoral de la Mata","Navalmoral de la Mata",39.8983,-5.5403,"Spain","Extremadura",17028
"Pozoblanco","Pozoblanco",38.3833,-4.85,"Spain","Andalusia",16946
"São Pedro do Sul","Sao Pedro do Sul",40.75,-8.0667,"Portugal","Viseu",16851
"Sobrado de Paiva","Sobrado de Paiva",41.0444,-8.2769,"Portugal","Aveiro",16733
"Ponte de Sôr","Ponte de Sor",39.2478,-8.0097,"Portugal","Portalegre",16722
"Zafra","Zafra",38.4167,-6.4167,"Spain","Extremadura",16711
"Cabeceiras de Basto","Cabeceiras de Basto",41.5167,-8,"Portugal","Braga",16710
"Churriana de la Vega","Churriana de la Vega",37.15,-3.65,"Spain","Andalusia",16693
"La Algaba","La Algaba",37.45,-6,"Spain","Andalusia",16666
"Arenys de Mar","Arenys de Mar",41.5819,2.5503,"Spain","Catalonia",16642
"El Escorial","El Escorial",40.5817,-4.1258,"Spain","Madrid",16618
"Espartinas","Espartinas",37.3833,-6.1167,"Spain","Andalusia",16482
"Tuineje","Tuineje",28.325,-14.0486,"Spain","Canary Islands",16454
"Ubrique","Ubrique",36.6833,-5.45,"Spain","Andalusia",16439
"Carlet","Carlet",39.2264,-0.5211,"Spain","Valencia",16428
"Las Cabezas de San Juan","Las Cabezas de San Juan",36.9817,-5.9406,"Spain","Andalusia",16410
"Benetúser","Benetuser",39.425,-0.3961,"Spain","Valencia",16322
"Santomera","Santomera",38.0617,-1.0492,"Spain","Murcia",16320
"Alcañiz","Alcaniz",41.0511,-0.1336,"Spain","Aragon",16247
"Aguadulce","Aguadulce",36.7642,-2.6147,"Spain","Andalusia",16176
"Punta Umbría","Punta Umbria",37.1667,-6.95,"Spain","Andalusia",16137
"Quarteira","Quarteira",37.0695,-8.1006,"Portugal","Faro",16131
